trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.75, 'e': 0.8479999999999999}",20,0,1.7314872420114291,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.75, 'e': 0.8469999999999999}",30,0,-119.32190929449524,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
154,False,"{'a': 0.75, 'e': 0.8459999999999999}",25,7,-76.91133476042504,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 0}",1
155,False,"{'a': 0.75, 'e': 0.8449999999999999}",30,6,-22.28020598778654,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
156,False,"{'a': 0.75, 'e': 0.8439999999999999}",25,0,-83.55598548133322,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
157,False,"{'a': 0.75, 'e': 0.8429999999999999}",25,0,-125.29211585925009,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
158,False,"{'a': 0.75, 'e': 0.8419999999999999}",30,7,-175.98935576543678,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 3}",1
159,False,"{'a': 0.75, 'e': 0.8409999999999999}",25,0,-59.28765430762268,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
160,False,"{'a': 0.75, 'e': 0.8399999999999999}",20,0,-1.564048290046086,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.75, 'e': 0.8389999999999999}",20,0,-167.44405786695106,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
162,False,"{'a': 0.75, 'e': 0.8379999999999999}",20,9,-17.35881504723472,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
163,False,"{'a': 0.75, 'e': 0.8369999999999999}",25,0,-145.44819277277412,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
164,False,"{'a': 0.75, 'e': 0.8359999999999999}",25,3,-36.23439553603998,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 0}",1
165,False,"{'a': 0.75, 'e': 0.8349999999999999}",20,0,-69.77019724789359,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",1
166,False,"{'a': 0.75, 'e': 0.8339999999999999}",30,0,-160.8542708138495,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
167,False,"{'a': 0.75, 'e': 0.8329999999999999}",20,0,-57.080153922937555,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
168,False,"{'a': 0.75, 'e': 0.8319999999999999}",30,0,-155.8550978159858,"{0: 15, 1: 7, 2: 6, 3: 0, 4: 2}",0
169,False,"{'a': 0.75, 'e': 0.8309999999999998}",25,0,-107.34965223262037,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
170,False,"{'a': 0.75, 'e': 0.8299999999999998}",20,0,-81.49055919638666,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
171,False,"{'a': 0.75, 'e': 0.8289999999999998}",20,0,-27.910804084762592,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
172,False,"{'a': 0.75, 'e': 0.8279999999999998}",25,11,-38.71839161171532,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
173,False,"{'a': 0.75, 'e': 0.8269999999999998}",20,0,-45.235118418493435,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
174,False,"{'a': 0.75, 'e': 0.8259999999999998}",25,12,-19.246726337177652,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
175,False,"{'a': 0.75, 'e': 0.8249999999999998}",20,0,-85.49119777452186,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
176,False,"{'a': 0.75, 'e': 0.8239999999999998}",25,0,-96.89905519162883,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
177,False,"{'a': 0.75, 'e': 0.8229999999999998}",25,12,-35.974146332183345,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
178,False,"{'a': 0.75, 'e': 0.8219999999999998}",25,0,-119.30460622170531,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
179,False,"{'a': 0.75, 'e': 0.8209999999999998}",35,0,-171.7599229049825,"{0: 21, 1: 5, 2: 5, 3: 2, 4: 2}",0
180,False,"{'a': 0.75, 'e': 0.8199999999999998}",25,0,-181.66191215306827,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
181,False,"{'a': 0.75, 'e': 0.8189999999999998}",20,0,-93.91184560564676,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
182,False,"{'a': 0.75, 'e': 0.8179999999999998}",20,0,-102.17586805269016,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
183,False,"{'a': 0.75, 'e': 0.8169999999999998}",20,0,-165.98458044960387,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
184,False,"{'a': 0.75, 'e': 0.8159999999999998}",20,0,-22.589074938358284,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
185,False,"{'a': 0.75, 'e': 0.8149999999999998}",20,0,-110.06282298493618,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
186,False,"{'a': 0.75, 'e': 0.8139999999999998}",25,0,-136.94937622365612,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
187,False,"{'a': 0.75, 'e': 0.8129999999999998}",25,0,-59.77116400688944,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
188,False,"{'a': 0.75, 'e': 0.8119999999999998}",25,0,-68.1431868255456,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
189,False,"{'a': 0.75, 'e': 0.8109999999999998}",30,1,-35.61013070359551,"{0: 23, 1: 3, 2: 1, 3: 2, 4: 0}",1
190,False,"{'a': 0.75, 'e': 0.8099999999999998}",20,1,-75.64578221992949,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
191,False,"{'a': 0.75, 'e': 0.8089999999999998}",20,0,-53.70442515704449,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
192,False,"{'a': 0.75, 'e': 0.8079999999999998}",20,0,-35.510204797146116,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
193,False,"{'a': 0.75, 'e': 0.8069999999999998}",30,0,-234.49597888340685,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 4}",0
194,False,"{'a': 0.75, 'e': 0.8059999999999998}",20,0,-25.481259443699795,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
195,False,"{'a': 0.75, 'e': 0.8049999999999998}",25,0,-40.47783612646205,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
196,False,"{'a': 0.75, 'e': 0.8039999999999998}",20,0,-22.70039952519081,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
197,False,"{'a': 0.75, 'e': 0.8029999999999998}",25,5,-94.3231208814479,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",1
198,False,"{'a': 0.75, 'e': 0.8019999999999998}",30,10,-47.65621806879758,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
199,False,"{'a': 0.75, 'e': 0.8009999999999998}",20,1,-64.8864897005084,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
200,False,"{'a': 0.75, 'e': 0.7999999999999998}",20,0,-83.26014564291732,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
201,False,"{'a': 0.75, 'e': 0.7989999999999998}",25,0,-123.67569114114096,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
202,False,"{'a': 0.75, 'e': 0.7979999999999998}",30,0,-111.32407855870346,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
203,False,"{'a': 0.75, 'e': 0.7969999999999998}",20,0,-53.339285958215456,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
204,False,"{'a': 0.75, 'e': 0.7959999999999998}",20,0,-105.4755047417153,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
205,False,"{'a': 0.75, 'e': 0.7949999999999998}",20,0,-96.71475893468644,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
